"Date","Price","Open","High","Low","Vol.","Change %"
"30-03-2025","19.85","22.38","23.90","19.70","606.76M","-12.59%"
"23-03-2025","22.71","24.72","24.99","22.56","296.68M","-6.39%"
"16-03-2025","24.26","24.42","26.41","23.49","591.75M","0.87%"
"09-03-2025","24.05","20.24","24.53","19.29","652.38M","16.52%"
"02-03-2025","20.64","25.00","25.04","20.00","598.32M","-13.02%"
"23-02-2025","23.73","24.55","24.80","22.64","449.70M","-4.58%"
"16-02-2025","24.87","24.60","27.55","24.48","692.74M","5.38%"
"09-02-2025","23.60","19.25","25.19","19.24","865.51M","23.56%"
"02-02-2025","19.10","18.97","19.77","18.78","301.70M","-1.70%"
"26-01-2025","19.43","20.81","21.06","19.38","469.14M","-6.72%"
"19-01-2025","20.83","22.03","22.41","20.75","279.31M","-3.07%"
"12-01-2025","21.49","18.92","21.62","18.73","365.50M","12.22%"
"05-01-2025","19.15","20.83","20.98","18.91","264.14M","-6.86%"
"29-12-2024","20.56","20.01","20.67","19.73","204.88M","1.28%"
"22-12-2024","20.30","19.58","20.67","19.52","176.08M","4.00%"
"15-12-2024","19.52","20.17","21.10","18.90","389.21M","-4.03%"
"08-12-2024","20.34","20.92","21.06","19.87","366.83M","-2.77%"
"01-12-2024","20.92","24.84","25.48","20.66","639.84M","-13.01%"
"24-11-2024","24.05","25.04","25.57","23.06","251.35M","-1.84%"
"17-11-2024","24.50","24.33","25.02","23.55","266.76M","0.62%"
"10-11-2024","24.35","25.96","26.29","23.89","305.28M","-7.06%"
"03-11-2024","26.20","22.96","26.43","22.00","438.45M","12.93%"
"27-10-2024","23.20","22.67","23.58","21.47","462.24M","2.29%"
"20-10-2024","22.68","22.61","23.34","21.58","243.74M","-0.40%"
"13-10-2024","22.77","23.58","23.77","21.74","250.24M","-3.35%"
"06-10-2024","23.56","22.40","23.82","22.02","246.80M","4.29%"
"29-09-2024","22.59","23.74","23.95","21.65","311.37M","-5.52%"
"22-09-2024","23.91","22.43","24.66","22.03","595.84M","9.48%"
"15-09-2024","21.84","20.03","23.14","19.76","824.52M","11.09%"
"08-09-2024","19.66","19.00","19.80","18.51","287.11M","4.08%"
"01-09-2024","18.89","21.54","21.69","18.64","359.25M","-14.29%"
"25-08-2024","22.04","20.53","22.12","19.51","394.86M","7.30%"
"18-08-2024","20.54","20.89","21.86","20.04","361.99M","-1.58%"
"11-08-2024","20.87","19.87","21.06","19.00","322.34M","5.89%"
"04-08-2024","19.71","20.20","20.63","18.84","525.26M","-8.24%"
"28-07-2024","21.48","31.42","31.47","20.42","545.28M","-31.48%"
"21-07-2024","31.35","33.28","33.41","30.95","228.31M","-4.94%"
"14-07-2024","32.98","34.70","37.16","32.85","334.38M","-4.38%"
"07-07-2024","34.49","33.03","35.47","32.82","350.37M","7.71%"
"30-06-2024","32.02","30.91","32.34","30.58","137.78M","3.39%"
"23-06-2024","30.97","31.14","31.42","30.27","172.50M","-0.39%"
"16-06-2024","31.09","30.34","31.47","30.18","205.90M","2.10%"
"09-06-2024","30.45","30.55","31.48","30.14","176.01M","-0.94%"
"02-06-2024","30.74","31.03","31.07","29.94","199.07M","-0.36%"
"26-05-2024","30.85","30.94","31.37","29.94","201.83M","0.42%"
"19-05-2024","30.72","31.85","32.42","29.87","216.12M","-3.49%"
"12-05-2024","31.83","30.03","32.26","30.00","225.42M","6.63%"
"05-05-2024","29.85","31.11","31.45","29.73","232.54M","-3.40%"
"28-04-2024","30.90","31.86","31.91","30.02","279.23M","-3.07%"
"21-04-2024","31.88","34.42","35.29","30.64","326.30M","-6.78%"
"14-04-2024","34.20","36.04","36.70","34.18","223.94M","-4.17%"
"07-04-2024","35.69","38.64","38.86","35.60","309.02M","-7.80%"